x,y,z,vector_magnitude
-0.000513079,-0.00255118,-0.00172374,0.00312139
-0.00104065,-0.00161348,-0.00166782,0.0025432
-0.00118367,-0.00250465,-0.00305661,0.00412519
-0.00133041,-0.00121728,-0.00307791,0.00356725
0.000945816,-0.00133733,-0.00126775,0.00207128
0.00101026,0.000205174,-0.00180544,0.00207903
0.00207849,-0.00128011,-0.00174753,0.00300211
0.000616681,-0.000690752,0.000476744,0.0010415
-0.00253285,0.00193904,-0.000156705,0.00319371
-0.00115467,-0.00336997,-6.64239e-05,0.00356292
-9.76449e-05,-0.000782728,0.00350307,0.00359078
0.0045011,-0.00178461,0.0065753,0.00816574
0.00426915,0.00643708,0.00561955,0.00955202
0.00810091,0.00721207,0.00447652,0.0117336
-0.00911114,0.0127179,-0.00892496,0.0180115
0.00715944,-0.0310988,-0.0254035,0.0407889
-0.0070813,0.0233319,-0.0271093,0.0364614
0.00372794,-0.0149859,-0.0307472,0.0344073
-0.000463513,0.00311413,-0.0322909,0.032444
-0.00479408,0.00253276,-0.0334589,0.0338954
0.00229149,-0.00595797,-0.0330435,0.0336545
0.00789797,-0.00167987,-0.0302477,0.031307
-0.0025957,-0.00441536,-0.020983,0.0215991
-0.00827595,0.0110478,-0.0107698,0.0175081
0.00243055,0.000349404,-0.00158636,0.00292339
-0.00485479,0.0158194,0.0030518,0.0168267
0.000433368,-0.00689421,0.00675318,0.00966041
-0.00177892,0.00555447,0.0115107,0.0129039
0.00199294,-0.000499195,0.0138568,0.0140082
-0.00295521,-0.00555681,0.0150176,0.0162831
-0.000764748,0.00184277,0.0160699,0.0161933
-4.43627e-05,0.000460058,0.0168081,0.0168145
-0.000400464,0.00457619,0.0165021,0.0171295
0.000102075,-0.0022375,0.0114444,0.0116616
0.000253098,-0.00565587,0.00352981,0.00667177
0.00281453,-0.00782049,0.000350532,0.00831893
-0.000102404,0.00372268,-0.00418364,0.00560104
-0.00151681,-0.00394163,-0.00527927,0.00676076
0.00181717,0.00120319,-0.00386323,0.00443557
-0.00031629,-0.00357106,-0.00422222,0.00553892
0.00242864,0.00226657,-0.00565015,0.00655438
-0.00263323,0.00167855,-0.00825099,0.00882215
-9.62686e-05,-0.00143419,-0.00801705,0.00814489
-0.00270723,0.000913653,-0.0101074,0.0105035
-0.00029791,-0.00368114,-0.0110292,0.0116311
-0.00175759,0.000272322,-0.0092483,0.00941777
-0.000206371,-0.00205803,-0.00797526,0.0082391
0.00172016,0.00109648,-0.00352219,0.00407026
0.00151304,-0.000360978,-0.00298241,0.00336369
-0.000111755,-0.000134875,0.00173831,0.00174711
0.000299984,0.00164969,0.00458182,0.00487899
-0.00033225,-0.00380686,0.00591127,0.00703887
-0.000599345,0.00209725,0.00816714,0.0084534
-0.00416585,0.00160963,0.0087011,0.00978031
0.000665351,0.000154704,0.0110324,0.0110535
-0.000728281,0.0030666,0.00934525,0.00986246
-0.00147261,-0.0068095,-7.42287e-05,0.0069673
-0.00114184,-0.000105255,0.00176548,0.00210519
-0.00112831,-0.000272529,-0.00217107,0.00246189
0.00167706,-0.00635705,-0.00284911,0.00716534
-0.000153286,0.00165768,-0.00312616,0.00354179
-0.000842246,-0.00516747,-0.000308805,0.00524476
0.00199453,-0.00259048,0.000300621,0.00328316
0.000334054,0.00133422,-0.00147331,0.00201553
-0.000484307,-0.00720711,-0.00411025,0.0083109
-0.00321671,0.00921714,-0.00422237,0.0106363
-0.00423865,-0.00845221,-0.00360926,0.0101209
-0.000124329,0.00279325,0.000225429,0.00280509
0.000926832,0.00296821,0.000727497,0.00319351
0.00290822,-0.00559492,0.00242979,0.00675757
-0.000223954,0.0049705,0.00688762,0.00849679
-0.0015044,-0.00227596,0.0068546,0.00737758
-0.00338214,0.00351076,0.00729673,0.00877534
0.00366538,-0.00124405,0.00996362,0.0106891
0.000279183,-0.00095884,0.0103898,0.0104377
0.000545766,-0.00103687,0.00869628,0.00877487
-7.23749e-05,0.000729807,0.00447596,0.00453564
-0.00221888,0.00364277,-0.00144238,0.00450263
-0.00117521,-0.00553997,-0.00496618,0.00753229
-0.00142794,-0.0031844,-0.00597499,0.00691953
0.00263338,-0.00084721,-0.00720723,0.00771989
-0.00199732,-0.00144536,-0.00647859,0.00693185
0.0048142,-0.147141,-0.0131001,0.147801
-0.00277634,-0.0352663,-0.00666138,0.0359971
0.014685,-0.128241,-0.00858752,0.129364
0.00364802,-0.208079,-0.0164063,0.208756
0.00456354,0.0023283,-0.00658526,0.00834341
-0.00158677,-0.0421998,-0.00261023,0.0423102
-0.00535988,-0.042569,-0.0031425,0.04302
-0.00578359,-0.0561333,-0.00422481,0.0565884
-0.0552782,-0.315873,-0.0108021,0.320855
0.0215258,-0.109599,-0.0189532,0.113289
-0.00752875,0.0484338,0.00348562,0.0491392
-3.40827e-05,0.281251,0.00798184,0.281365
0.0126748,0.56439,0.0128021,0.564678
