x,y,z,vector_magnitude
101.201,-42.9109,-106.347,152.947
100.749,-43.1873,-106.157,152.594
101.046,-42.6764,-106.182,152.664
100.73,-43.4155,-105.956,152.506
101.158,-42.5538,-106.276,152.769
100.562,-43.1398,-105.744,152.169
101.198,-42.8483,-106.036,152.711
100.454,-43.1859,-105.896,152.217
101.158,-42.6065,-106.051,152.627
100.697,-43.1798,-105.616,152.182
101.075,-42.5107,-106.113,152.589
100.861,-43.2041,-105.965,152.539
101.236,-42.3255,-106.245,152.736
100.776,-43.3144,-105.423,152.138
101.426,-42.5043,-106.291,152.944
100.678,-43.2613,-105.48,152.098
101.401,-42.3027,-106.093,152.733
100.803,-43.4861,-105.319,152.132
101.028,-42.304,-106.837,153.005
100.505,-43.5041,-105.614,152.145
101.435,-42.5947,-106.915,153.408
100.944,-43.6962,-105.151,152.171
101.11,-42.5015,-106.967,153.205
100.481,-43.6843,-105.459,152.073
100.906,-42.8799,-106.327,152.728
100.895,-42.9217,-106.229,152.665
100.895,-42.9217,-106.229,152.665
100.895,-42.9217,-106.229,152.665
101.037,-42.6918,-106.2,152.674
101.037,-42.6918,-106.2,152.674
101.037,-42.6918,-106.2,152.674
101.042,-42.4969,-106.052,152.521
101.042,-42.4969,-106.052,152.521
101.042,-42.4969,-106.052,152.521
101.042,-42.4969,-106.052,152.521
101.042,-42.4969,-106.052,152.521
101.121,-42.3763,-105.99,152.497
101.121,-42.3763,-105.99,152.497
101.121,-42.3763,-105.99,152.497
101.121,-42.3763,-105.99,152.497
101.121,-42.3763,-105.99,152.497
101.313,-42.327,-105.874,152.529
101.313,-42.327,-105.874,152.529
101.313,-42.327,-105.874,152.529
101.313,-42.327,-105.874,152.529
101.313,-42.327,-105.874,152.529
101.313,-42.327,-105.874,152.529
101.353,-42.1882,-105.95,152.57
101.353,-42.1882,-105.95,152.57
101.353,-42.1882,-105.95,152.57
101.353,-42.1882,-105.95,152.57
101.353,-42.1882,-105.95,152.57
101.353,-42.1882,-105.95,152.57
101.324,-42.3161,-105.945,152.583
101.324,-42.3161,-105.945,152.583
101.324,-42.3161,-105.945,152.583
101.324,-42.3161,-105.945,152.583
101.324,-42.3161,-105.945,152.583
101.318,-42.4188,-105.94,152.603
101.318,-42.4188,-105.94,152.603
101.318,-42.4188,-105.94,152.603
101.318,-42.4188,-105.94,152.603
101.318,-42.4188,-105.94,152.603
101.318,-42.4188,-105.94,152.603
101.309,-42.4275,-105.966,152.618
101.309,-42.4275,-105.966,152.618
101.309,-42.4275,-105.966,152.618
101.309,-42.4275,-105.966,152.618
101.309,-42.4275,-105.966,152.618
101.309,-42.4275,-105.966,152.618
101.304,-42.4546,-106,152.646
101.304,-42.4546,-106,152.646
101.304,-42.4546,-106,152.646
101.304,-42.4546,-106,152.646
101.304,-42.4546,-106,152.646
101.304,-42.4546,-106,152.646
101.187,-42.4189,-106.095,152.625
101.187,-42.4189,-106.095,152.625
101.187,-42.4189,-106.095,152.625
101.187,-42.4189,-106.095,152.625
101.224,-42.3528,-106.207,152.709
101.224,-42.3528,-106.207,152.709
101.224,-42.3528,-106.207,152.709
101.224,-42.3528,-106.207,152.709
101.224,-42.3528,-106.207,152.709
101.224,-42.3528,-106.207,152.709
101.114,-42.3778,-106.101,152.569
101.114,-42.3778,-106.101,152.569
101.218,-42.3751,-106.291,152.769
101.07,-42.6224,-106.324,152.763
100.907,-42.6856,-106.436,152.752
100.772,-42.7467,-106.356,152.623
100.686,-42.6661,-106.402,152.575
100.602,-42.7517,-106.387,152.534
100.687,-42.6647,-106.431,152.597
100.612,-42.6719,-106.422,152.543
100.677,-42.6437,-106.474,152.614
100.657,-42.7317,-106.272,152.485
100.845,-42.7193,-106.206,152.559
100.81,-42.8362,-106.081,152.482
100.8,-42.7115,-106.094,152.449
100.747,-42.801,-106.006,152.378
100.72,-42.817,-106.013,152.37
100.748,-42.8156,-106.058,152.419
100.782,-42.9055,-106.199,152.565
100.815,-42.944,-106.211,152.606
100.836,-42.8763,-106.297,152.661
100.851,-42.9809,-106.293,152.697
100.913,-42.9881,-106.356,152.784
100.843,-42.9421,-106.27,152.665
100.917,-42.8663,-106.318,152.726
100.794,-42.927,-106.345,152.681
100.906,-42.9341,-106.431,152.817
100.881,-42.9603,-106.329,152.736
100.95,-42.951,-106.318,152.772
100.939,-43.1093,-106.323,152.812
100.891,-43.1354,-106.426,152.86
100.97,-43.0805,-106.346,152.841
101.017,-43.0603,-106.493,152.969
100.865,-43.1767,-106.659,153.017
100.892,-43.0299,-106.588,152.944
100.732,-43.1353,-106.43,152.758
100.716,-43.0455,-106.447,152.733
100.659,-42.9953,-106.231,152.531
100.767,-43.0641,-106.165,152.576
100.796,-43.0294,-106.118,152.553
100.815,-42.9842,-106.171,152.59
100.757,-42.969,-106.173,152.548
100.847,-42.9413,-106.315,152.699
100.769,-43.1391,-106.343,152.723
100.757,-42.9962,-106.453,152.751
100.746,-43.206,-106.195,152.623
100.722,-43.1228,-106.241,152.616
100.647,-43.0849,-106.455,152.705
100.764,-43.0743,-106.54,152.838
100.691,-43.21,-106.596,152.868
100.718,-43.1933,-106.644,152.914
100.773,-43.1883,-106.658,152.959
100.715,-43.1041,-106.744,152.956
100.694,-43.1616,-106.583,152.846
100.691,-43.1197,-106.579,152.83
100.617,-43.1063,-106.596,152.789
100.726,-43.0948,-106.671,152.911
100.729,-43.1372,-106.519,152.818
100.724,-43.0497,-106.596,152.844
100.711,-43.0707,-106.47,152.753
100.741,-43.0619,-106.497,152.79
100.818,-43.0305,-106.42,152.778
100.864,-43.0092,-106.425,152.806
100.979,-43.1304,-106.363,152.873
101.069,-42.9695,-106.4,152.913
101.16,-42.8779,-106.324,152.894
101.24,-42.7522,-106.333,152.918
101.119,-42.7857,-106.278,152.81
101.129,-42.8356,-106.235,152.8
101.165,-42.9048,-105.917,152.622
101.3,-42.9099,-105.969,152.75
101.189,-42.9556,-105.766,152.548
101.363,-42.9425,-105.894,152.749
101.451,-42.9982,-105.857,152.797
101.463,-43.0297,-105.963,152.887
101.43,-43.0734,-106.043,152.933
101.496,-43.0503,-106.07,152.989
101.495,-43.0928,-105.967,152.929
101.629,-43.0714,-105.832,152.918
101.648,-43.1579,-105.715,152.874
101.755,-43.0628,-105.876,153.03
101.558,-43.1518,-105.975,152.993
101.529,-43.201,-106.03,153.026
101.423,-43.1484,-105.95,152.884
101.531,-43.096,-106.125,153.063
101.334,-43.0602,-106.047,152.868
101.243,-42.9396,-106.139,152.838
101.137,-42.989,-106.076,152.738
101.144,-42.9052,-106.213,152.815
101.12,-42.9689,-106.174,152.79
101.154,-42.8888,-106.176,152.791
101.151,-42.8501,-106.176,152.777
101.238,-42.7114,-106.173,152.795
101.084,-42.7486,-106.166,152.698
101.079,-42.7881,-106.433,152.891
